ID	Fecha	Got RINEX	Got Kp index	Got GLM data	T_0 (GLM-16)	T_0 (GLM-17)	dt (GLM-16)	dt (GLM-17)	dt	s_dt	Latitud (GLM-16)	Latitud (GLM-17)	Longitud (GLM-16)	Longitud (GLM-17)	Latitud	Longitud	sig_latitude	sig_lon	f(lat, long, long_GLM16)	f(lat, long, long_GLM17)	GLM-16 energy (J)	GLM-17-energy (J)	Height (km)	R^2_GLM16	R^2_GLM17	Radiated Energy GLM-16 (J)	Radiated Energy GLM-17 (J)	Luminous Efficiency (GLM-16)	Total energy GLM-16 (kT)	Total energy recallibrated (kT)
GLM-10	2019-12-04	**	**	**	09:42:54.880	09:42:54.877	0.171	0.175	0.173	0.0028	31.5	31.5	-114.3	-113.0	31.50	-113.65	0.000	0.919	0.99988304	0.99992679	1.938622765895668e-12	1.524757629654727e-12	77	1.28e9	1.28e9	3.34e9	9.4121303e13	0.053362785 +/- 0.028611628	0.014955899 +/- 8.0189333e-3	0.029149047 +/- 0.015891049
GLM-11	2019-12-15	**	**	**	14:50:49.779	14:50:49.915	0.136	0.117	0.127	0.0134	27.7	27.7	-114.7	-113.5	27.70	-114.10	0.000	0.849	0.99989201	0.99993834	6.161296992576752e-13	2.9770126480938705e-13	78	1.28e9	1.28e9	1.06e9	1.8376711e13	0.046764664 +/- 0.029091689	5.4161737e-3 +/- 3.3693312e-3	0.010556123 +/- 6.6488245e-3
GLM-12	2019-12-29	**	**	**	16:16:35.527	16:16:35.598	0.071	0.052	0.062	0.0134	29.6	29.6	-117.0	-115.7	29.60	-116.35	0.000	0.919	0.99987829	0.99993790	2.17488682754591e-13	7.41910681307072e-14	79	1.28e9	1.28e9	3.75e8	4.5797180e12	0.041497433 +/- 0.029044329	2.1593079e-3 +/- 1.5113139e-3	4.2084911e-3 +/- 2.9746446e-3
GLM-13	2020-01-03	**	**	**	14:10:17.704	14:10:17.584	0.119	0.107	0.113	0.0085	30.2	30.2	-118.3	-117.0	30.20	-117.65	0.000	0.919	0.99987150	0.99993875	6.855139495591029e-13	3.1314754237003386e-13	74	1.28e9	1.28e9	1.18e9	1.9330190e13	0.047344995 +/- 0.029072518	5.9554210e-3 +/- 3.6569670e-3	0.011607116 +/- 7.2187549e-3
GLM-14	2020-01-06	**	**	**	16:39:27.920	16:39:27.917	0.115	0.121	0.118	0.0042	31.4	31.4	-108.9	-107.5	31.40	-108.20	0.000	0.990	0.99990157	0.99991333	9.521115792786327e-13	6.275060969231533e-13	81	1.27e9	1.27e9	1.63e9	3.8432516e13	0.049137065 +/- 0.028984435	7.9265268e-3 +/- 4.6756130e-3	0.015448801 +/- 9.2392402e-3
GLM-15	2020-01-15	**	**	**	15:00:33.695	15:00:34.003	0.308	0.117	0.213	0.1351	19.4	19.5	-96.2	-94.9	19.45	-95.55	0.071	0.919	0.99996208	0.99989934	7.533539117646777e-13	5.875405258747977e-13	93	1.27e9	1.27e9	1.29e9	3.5984767e13	0.047832762 +/- 0.029052833	6.4441967e-3 +/- 3.9140991e-3	0.012559739 +/- 7.7284725e-3
GLM-16	2020-02-12	**	**	**	09:25:40.508	09:25:40.490	0.194	0.226	0.210	0.0226	18.9	18.9	-94.1	-92.9	18.90	-93.50	0.000	0.849	0.99996685	0.99989238	4.662846866251004e-13	7.11847788770303e-13	90	1.27e9	1.27e9	7.98e8	4.3598144e13	0.045262441 +/- 0.029119463	4.2127866e-3 +/- 2.7102843e-3	8.2107211e-3 +/- 5.3440405e-3
GLM-17	2020-03-03	**	**	**	12:33:27.284	12:33:27.282	0.062	0.061	0.062	0.0007	18.2	18.3	-106.8	-105.9	18.25	-106.35	0.071	0.636	0.99993830	0.99993901	1.7320510377282553e-13	1.9590237923737543e-13	77	1.28e9	1.28e9	2.99e8	1.2092799e13	0.040430567 +/- 0.028983521	1.7671194e-3 +/- 1.2667975e-3	3.4441157e-3 +/- 2.4922397e-3
GLM-18	2020-03-31	**	**	**	19:31:52.080	19:31:52.103	0.145	0.064	0.105	0.0573	28.5	28.4	-112.5	-111.6	28.45	-112.05	0.071	0.636	0.99989777	0.99993217	4.019331742446309e-13	1.087721013104986e-13	61	1.28e9	1.28e9	6.93e8	6.7143601e12	0.044534027 +/- 0.029121344	3.7183118e-3 +/- 2.4314495e-3	7.2469897e-3 +/- 4.7924800e-3
GLM-19	2020-04-08	**	**	**	16:25:28.094	16:25:28.182	0.185	0.054	0.120	0.0926	26.1	26.1	-94.5	-93.3	26.10	-93.90	0.000	0.849	0.99995111	0.99987898	2.0687508876245494e-13	4.214678296162302e-14	78	1.28e9	1.28e9	3.57e8	2.6016660e12	0.041263350 +/- 0.029032529	2.0673227e-3 +/- 1.4545500e-3	4.0292119e-3 +/- 2.8626279e-3
GLM-20	2020-04-18	**	**	**	17:43:25.270	17:43:25.268	0.146	0.131	0.139	0.0106	29.0	29.0	-107.2	-105.9	29.00	-106.55	0.000	0.919	0.99991347	0.99991553	3.1668414423809794e-13	3.10458970407003e-13	82	1.27e9	1.27e9	5.42e8	1.9014507e13	0.043292988 +/- 0.029106660	2.9914811e-3 +/- 2.0112269e-3	5.8303967e-3 +/- 3.9618242e-3
GLM-21	2020-04-20	**	**	**	16:05:22.001	16:05:22:191	0.435	0.201	0.318	0.1655	28.1	28.2	-98.6	-97.1	28.15	-97.85	0.071	1.061	0.99993796	0.99988850	2.1191121272541304e-12	1.825984418477952e-12	88	1.27e9	1.27e9	3.63e9	1.1183505e14	0.053876193 +/- 0.028551212	0.016099569 +/- 8.5318245e-3	0.031378060 +/- 0.016913982
GLM-22	2020-04-25	**	**	**	11:03:09.626	11:03:09.530	0.265	0.380	0.323	0.0813	32.1	32.2	-112.4	-110.8	32.15	-111.60	0.071	1.131	0.99988799	0.99991956	1.417340866060915e-12	2.232950304524486e-12	84	1.27e9	1.27e9	2.43e9	1.3676026e14	0.051446089 +/- 0.028808670	0.011286478 +/- 6.3201777e-3	0.021997346 +/- 0.012507576
GLM-23	2020-04-28	**	**	**	05:43:16.682	05:43:16.676	0.801	0.818	0.810	0.0120	19.9	19.9	-110.2	-110.0	19.90	-110.10	0.000	0.141	0.99992479	0.99994730	1.0178255724628665e-11	9.224888665035712e-12	29	1.28e9	1.28e9	1.76e10	5.6944036e14	0.064601351 +/- 0.026608204	0.065099193 +/- 0.026813257	0.12687833 +/- 0.053736010
GLM-24	2020-05-08	**	**	**	10:06:16.988	10:06:16.942	0.437	0.543	0.490	0.0750	21.6	21.6	-93.0	-91.8	21.60	-92.40	0.000	0.849	0.99996365	0.99988273	2.2619171697132558e-12	6.268410264980247e-12	81	1.27e9	1.27e9	3.87e9	3.8391783e14	0.054274321 +/- 0.028502180	0.017038098 +/- 8.9475634e-3	0.033207253 +/- 0.017743607
GLM-25	2020-07-15	**	**	**	19:58:28.112	19:58:28.173	0.728	0.658	0.693	0.0495	24.0	24.0	-108.7	-108.0	24.00	-108.35	0.000	0.495	0.99992121	0.99993372	1.3059874702513091e-12	6.913835089355929e-13	53	1.28e9	1.28e9	2.25e9	4.2678204e13	0.050992773 +/- 0.028848572	0.010543345 +/- 5.9647757e-3	0.020548979 +/- 0.011800641
GLM-26	2020-08-07	**	**	**	13:29:57.252	13:29:57:071	0.167	0.159	0.163	0.0057	28.8	28.8	-106.7	-105.4	28.80	-106.05	0.000	0.919	0.99991548	0.99991460	8.954331725010835e-13	6.352236706573085e-13	89	1.27e9	1.27e9	1.53e9	3.8905190e13	0.048780602 +/- 0.029005383	7.4946061e-3 +/- 4.4563599e-3	0.014606987 +/- 8.8040841e-3
GLM-27	2020-09-13	**	**	**	16:41:59.056	16:41:59.051	0.178	0.189	0.184	0.0078	28.4	28.5	-114.4	-113.1	28.45	-113.75	0.071	0.919	0.99989129	0.99993537	6.475592424368523e-13	5.786823260661331e-13	85	1.27e9	1.27e9	1.11e9	3.5442234e13	0.047013197 +/- 0.029084048	5.6416707e-3 +/- 3.4901396e-3	0.010995616 +/- 6.8881646e-3
GLM-28	2020-09-30	**	**	**	12:28:11.755	12:28:11.748	0.094	0.105	0.100	0.0078	24.9	24.9	-111.5	-110.3	24.90	-110.90	0.000	0.849	0.99991010	0.99993766	8.547862356231333e-13	7.27027492615035e-13	83	1.27e9	1.27e9	1.46e9	4.4527847e13	0.048518595 +/- 0.029019704	7.1903359e-3 +/- 4.3006484e-3	0.014013965 +/- 8.4951275e-3
GLM-29	2020-11-16	**	**	**	09:36:04.204	09:36:04.187	0.386	0.405	0.396	0.0134	20.3	20.3	-101.2	-99.9	20.30	-100.55	0.000	0.919	0.99994952	0.99991633	3.754678744599022e-12	5.319998241614338e-12	106	1.27e9	1.27e9	6.43e9	3.2583096e14	0.057537621 +/- 0.028030325	0.026703218 +/- 0.013008878	0.052044572 +/- 0.025868548
GLM-30	2020-11-17	**	**	**	12:53:41.826	12:53:41.816	0.385	0.422	0.404	0.0262	23.0	23.0	-103.1	-101.8	23.00	-102.45	0.000	0.919	0.99993934	0.99991732	4.463608461879112e-12	5.623754358386713e-12	93	1.27e9	1.27e9	7.64e9	3.4443495e14	0.058689901 +/- 0.027834784	0.031105309 +/- 0.014752275	0.060624247 +/- 0.029367156
GLM-31	2020-12-19	**	**	**	10:18:14.250	10:18:14.614	0.328	0.485	0.407	0.1110	21.9	22.0	-102.3	-100.9	21.95	-101.60	0.071	0.990	0.99994368	0.99991641	4.433293600678048e-12	4.773030608716246e-12	98	1.27e9	1.27e9	7.59e9	2.9233114e14	0.058645602 +/- 0.027842573	0.030925082 +/- 0.014681985	0.060272985 +/- 0.029225978
GLM-32	2020-12-23	**	**	**	09:43:01.374	09:43:01.375	0.147	0.149	0.148	0.0014	25.8	25.7	-111.8	-110.7	25.75	-111.25	0.071	0.778	0.99990697	0.99993678	7.249906845925338e-13	5.998020015149864e-13	81	1.27e9	1.27e9	1.24e9	3.6735739e13	0.047615805 +/- 0.029061989	6.2226460e-3 +/- 3.7979505e-3	0.012127937 +/- 7.4982028e-3
GLM-33	2020-12-29	**	**	**	15:20:54.399	15:20:54.282	0.117	0.119	0.118	0.0014	16.8	16.8	-102.7	-101.7	16.80	-102.20	0.000	0.707	0.99995182	0.99992844	7.955155609684707e-13	7.937009630068694e-13	81	1.27e9	1.27e9	1.36e9	4.8611360e13	0.048124321 +/- 0.029039523	6.7527214e-3 +/- 4.0747756e-3	0.013161054 +/- 8.0470909e-3
GLM-34	2021-03-31	**	**	**	09:01:17.547	09:01:17.978	0.971	0.535	0.753	0.3083	20.1	20.2	-93.1	-92.8	20.15	-92.95	0.071	0.212	0.99996639	0.99988961	3.9079678172826326e-12	5.546622984700175e-12	24	1.28e9	1.28e9	6.74e9	3.4238581e14	0.057850022 +/- 0.027978770	0.027839466 +/- 0.013464369	0.054259119 +/- 0.026782008
GLM-Ven	2019-06-22			**	21:25:45.265		4.873		4.873		14.9		-65.8		14.90	-65.80			0.99998560	0.99912677	8.09382108655163e-10		25	1.28e9	1.28e9	1.40e12	0.	0.10685931 +/- 9.5599779e-3	3.1305469 +/- 0.28006880	6.1014359 +/- 0.81239700
